"Timestamp","ความชอบในแต่ละเมนูของ KFC [Fried Chicken - Original ( thigh )]","ความชอบในแต่ละเมนูของ KFC [Fried Chicken - Original ( breast )]","ความชอบในแต่ละเมนูของ KFC [Fried Chicken - Original (drumstick)]","ความชอบในแต่ละเมนูของ KFC [Fried Chicken - Original ( back bone)]","ความชอบในแต่ละเมนูของ KFC [Fried Chicken - Original (wing)]","ความชอบในแต่ละเมนูของ KFC [Fried Chicken - Hot and Spicy ( thigh )]","ความชอบในแต่ละเมนูของ KFC [Fried Chicken - Hot and Spicy ( breast )]","ความชอบในแต่ละเมนูของ KFC [Fried Chicken - Hot and Spicy ( drumstick )]","ความชอบในแต่ละเมนูของ KFC [Fried Chicken - Hot and Spicy ( back bone )]","ความชอบในแต่ละเมนูของ KFC [Fried Chicken - Hot and Spicy ( wing )]","ความชอบในแต่ละเมนูของ KFC [Singer Burger]","ความชอบในแต่ละเมนูของ KFC [Crispy Fish Burger]","ความชอบในแต่ละเมนูของ KFC [Yum Kai Zaab Rice]","ความชอบในแต่ละเมนูของ KFC [Yum Kai Seed Rice]","ความชอบในแต่ละเมนูของ KFC [Wing Zaab]","ความชอบในแต่ละเมนูของ KFC [Chicken Popcorn]","ความชอบในแต่ละเมนูของ KFC [Fish Finger]","ความชอบในแต่ละเมนูของ KFC [Nuggets]","ความชอบในแต่ละเมนูของ KFC [French Fries]","ความชอบในแต่ละเมนูของ KFC [Mashed Potatoes]","ความชอบในแต่ละเมนูของ KFC [Tuna Corn Salad]","ความชอบในแต่ละเมนูของ KFC [Iced Coffee]","ความชอบในแต่ละเมนูของ KFC [Floated Iced Coffee]","ความชอบในแต่ละเมนูของ KFC [Soft cream]","ความชอบในแต่ละเมนูของ KFC [Dipped Soft cream]","ความชอบในแต่ละเมนูของ KFC [Egg Tart]","ความชอบในแต่ละเมนูของ KFC [Chilly sauce]","ความชอบในแต่ละเมนูของ KFC [Ketchups]","ความชอบในแต่ละเมนูของ KFC [Barbecue sauce]"
"2020/10/25 4:08:17 pm GMT+7","เฉยๆ","ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ชอบ","ชอบ","ชอบ","เฉยๆ","ไม่ชอบ","ชอบ","เฉยๆ","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","ไม่ชอบ","ไม่ชอบ","ชอบ","ชอบ","เฉยๆ","ชอบ","ชอบ","เฉยๆ"
"2020/10/25 4:13:20 pm GMT+7","ไม่ชอบ","เฉยๆ","เฉยๆ","ไม่ชอบ","ไม่ชอบ","เฉยๆ","ชอบ","เฉยๆ","ไม่ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","ชอบ","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","ไม่ชอบ","ไม่ชอบ","เฉยๆ","เฉยๆ","ชอบ","เฉยๆ","เฉยๆ","ไม่ชอบ"
"2020/10/25 4:14:45 pm GMT+7","ชอบ","เฉยๆ","ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ชอบมาก","เฉยๆ","ชอบมาก","ชอบมาก","ไม่ชอบ","ไม่ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ"
"2020/10/25 4:15:27 pm GMT+7","ชอบ","ชอบ","ชอบ","ชอบ","ชอบมาก","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","เฉยๆ","ไม่ชอบ","เฉยๆ","เฉยๆ","ชอบมาก","ชอบ","เฉยๆ","ชอบ","เฉยๆ","ไม่ชอบ","ไม่ชอบ","เฉยๆ","ชอบ","ชอบ","ชอบ","เฉยๆ","ชอบ","ชอบมาก","ชอบมาก"
"2020/10/25 4:18:30 pm GMT+7","เฉยๆ","ไม่ชอบ","ชอบ","เฉยๆ","ชอบ","ชอบ","ไม่ชอบ","ชอบมาก","ชอบ","ชอบมาก","ไม่ชอบ","เฉยๆ","ชอบ","เฉยๆ","ชอบมาก","ชอบ","ชอบ","ไม่ชอบ","เฉยๆ","เฉยๆ","ชอบมาก","ไม่ชอบ","ไม่ชอบ","ชอบมาก","ชอบ","ชอบ","ไม่ชอบ","ชอบมาก","ไม่ชอบ"
"2020/10/25 4:35:25 pm GMT+7","ไม่ชอบ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ไม่ชอบ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบ","ชอบ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบ","ชอบมาก","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","ชอบมาก","ชอบมาก","ชอบ","ชอบมาก","ชอบมาก","ชอบมาก"
"2020/10/25 4:48:14 pm GMT+7","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ชอบ","ชอบ","ไม่ชอบ","ไม่ชอบ","เฉยๆ","ชอบ","เฉยๆ","ชอบ","ไม่ชอบ","ชอบมาก","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","ไม่ชอบ","ชอบมาก","เฉยๆ"
"2020/10/25 5:00:49 pm GMT+7","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","ชอบมาก","ชอบ","ชอบมาก","ชอบ","ชอบ","เฉยๆ","ชอบมาก","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","ชอบมาก","เฉยๆ","ชอบมาก","เฉยๆ","เฉยๆ"
"2020/10/25 6:02:24 pm GMT+7","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","ชอบ","ชอบ","เฉยๆ","ไม่ชอบ","เฉยๆ","เฉยๆ","ไม่ชอบ","ชอบ","ชอบ","ชอบ"
"2020/10/25 6:22:03 pm GMT+7","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","ไม่ชอบ","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","ไม่ชอบ","ชอบมาก","เฉยๆ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก"
"2020/10/25 6:30:03 pm GMT+7","ชอบ","เฉยๆ","ชอบ","เฉยๆ","ชอบมาก","ชอบ","ชอบ","ชอบ","เฉยๆ","ชอบมาก","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","เฉยๆ","ไม่ชอบ","ไม่ชอบ","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","ชอบ","เฉยๆ","ชอบ","เฉยๆ","ไม่ชอบ"
"2020/10/26 12:07:17 pm GMT+7","ชอบ","เฉยๆ","ชอบ","เฉยๆ","เฉยๆ","ชอบมาก","เฉยๆ","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","ชอบ","เฉยๆ","เฉยๆ","ชอบมาก","ชอบ","เฉยๆ","ชอบ","ชอบ","เฉยๆ"
"2020/10/27 11:47:51 am GMT+7","ชอบ","ไม่ชอบ","ชอบมาก","ไม่ชอบ","ชอบ","ชอบมาก","เฉยๆ","ชอบมาก","ไม่ชอบ","ชอบ","เฉยๆ","ชอบมาก","เฉยๆ","ชอบมาก","ชอบมาก","ชอบ","ชอบ","ชอบมาก","เฉยๆ","ชอบ","ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ชอบมาก","ชอบมาก","เฉยๆ","ชอบ"
"2020/10/27 1:20:54 pm GMT+7","เฉยๆ","ชอบ","ชอบ","ไม่ชอบ","ชอบ","ชอบมาก","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","เฉยๆ","เฉยๆ","ชอบมาก","ชอบมาก","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ชอบมาก","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","เฉยๆ"
"2020/10/27 1:21:03 pm GMT+7","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ไม่ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","เฉยๆ","ชอบมาก","เฉยๆ","ชอบมาก","ไม่ชอบ"
"2020/10/27 1:33:51 pm GMT+7","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","ชอบมาก","ชอบมาก","เฉยๆ","ชอบ","เฉยๆ","ชอบมาก","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","ไม่ชอบ","เฉยๆ","ชอบ"
"2020/10/28 10:02:43 pm GMT+7","ไม่ชอบ","เฉยๆ","เฉยๆ","ชอบมาก","ชอบ","ชอบ","ไม่ชอบ","ชอบ","ไม่ชอบ","ชอบ","เฉยๆ","เฉยๆ","ชอบ","ไม่ชอบ","ชอบมาก","ไม่ชอบ","ชอบมาก","ชอบ","ชอบ","ไม่ชอบ","ชอบ","ชอบ","ชอบ","ไม่ชอบ","ชอบมาก","ชอบ","ไม่ชอบ","ชอบ","ชอบมาก"
"2020/10/28 10:03:06 pm GMT+7","ไม่ชอบ","เฉยๆ","ชอบ","เฉยๆ","เฉยๆ","ชอบ","เฉยๆ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ"
"2020/10/28 10:07:16 pm GMT+7","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","ชอบ","ชอบ","ชอบ","เฉยๆ","ชอบ","เฉยๆ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","ชอบ","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","ชอบมาก","ชอบ","ชอบ","ชอบ"
"2020/10/28 10:08:21 pm GMT+7","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","ชอบ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","ชอบมาก","ชอบ","ชอบ","ชอบ","ชอบมาก","เฉยๆ"
"2020/10/28 10:09:54 pm GMT+7","ชอบ","ชอบ","ชอบ","ชอบ","ชอบมาก","เฉยๆ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบ","ชอบมาก","ชอบ","เฉยๆ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบ","ชอบ","ชอบ","ชอบมาก","ชอบ","เฉยๆ","เฉยๆ","ชอบ","ชอบมาก","ชอบ","เฉยๆ"
"2020/10/28 10:12:14 pm GMT+7","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","ชอบ","ชอบมาก","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","ชอบ","ชอบ","ชอบมาก","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","เฉยๆ","ชอบ","ชอบ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก"
"2020/10/28 10:13:42 pm GMT+7","ชอบ","ชอบ","เฉยๆ","เฉยๆ","ชอบ","ชอบ","ชอบ","ชอบ","เฉยๆ","ชอบ","ชอบ","เฉยๆ","ชอบ","เฉยๆ","ชอบมาก","ชอบมาก","เฉยๆ","ชอบ","เฉยๆ","ชอบ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบ","ชอบ","ชอบมาก","เฉยๆ","เฉยๆ","เฉยๆ"
"2020/10/28 10:19:31 pm GMT+7","เฉยๆ","เฉยๆ","เฉยๆ","ไม่ชอบ","เฉยๆ","ชอบมาก","ชอบ","ชอบมาก","เฉยๆ","ชอบมาก","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ไม่ชอบ","ชอบมาก","ชอบ","ชอบ","ไม่ชอบ","ไม่ชอบ","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","ไม่ชอบ","ไม่ชอบ","ชอบมาก","เฉยๆ","ชอบมาก","ชอบมาก"
"2020/10/28 11:01:39 pm GMT+7","ชอบ","เฉยๆ","ชอบ","ชอบ","ชอบ","เฉยๆ","ชอบมาก","ชอบมาก","เฉยๆ","ชอบมาก","ชอบมาก","เฉยๆ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบ","เฉยๆ","ชอบ","ชอบ","ไม่ชอบ","เฉยๆ","เฉยๆ","ชอบ","ชอบ","เฉยๆ","ไม่ชอบ","เฉยๆ","เฉยๆ","ชอบ"
"2020/10/28 11:28:11 pm GMT+7","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","เฉยๆ","เฉยๆ","ชอบ","ชอบ","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","เฉยๆ","ไม่ชอบ","เฉยๆ","ชอบมาก","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ","เฉยๆ"
"2020/10/29 4:39:51 am GMT+7","ชอบ","ชอบมาก","เฉยๆ","ชอบมาก","ชอบ","ชอบมาก","เฉยๆ","ชอบมาก","ชอบ","ชอบมาก","ชอบ","","ชอบ","ชอบมาก","เฉยๆ","ชอบมาก","ชอบมาก","เฉยๆ","ชอบ","ชอบมาก","เฉยๆ","ชอบมาก","ชอบมาก","","ชอบมาก","ชอบ","ชอบ","ชอบมาก","ชอบมาก"
"2020/10/29 4:40:02 am GMT+7","ชอบมาก","ชอบมาก","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/10/29 4:40:09 am GMT+7","","","ชอบมาก","ชอบมาก","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/10/29 4:40:21 am GMT+7","","","ชอบมาก","","","","","","","","","ชอบมาก","","","","","","","","ชอบมาก","","","","","","","","",""
"2020/10/29 4:40:30 am GMT+7","","ชอบมาก","","","","","","","","ชอบมาก","ชอบมาก","","","","","","","","","","","","","","","","","",""
"2020/10/29 4:40:51 am GMT+7","","","","","","","","","","","ชอบมาก","ชอบมาก","ชอบมาก","ชอบมาก","","","","","","","","","","","","","","",""